Date,JPM UN Equity,USB UN Equity,GS UN Equity,FB UW Equity,AAPL UW Equity,GOOGL UW Equity,GM UN Equity,F UN Equity
05/04/2016,58.36,40.05,155.35,112.22,109.81,758.57,29.6,12.77
06/04/2016,58.81,40.09,155.19,113.71,110.96,768.07,29.94,12.82
07/04/2016,57.32,39.1,150.41,113.64,108.54,760.12,29.42,12.52
08/04/2016,57.74,39.38,150.28,110.63,108.66,759.47,29.37,12.55
11/04/2016,58.2,39.53,152.2,108.99,109.02,757.54,29.53,12.66
12/04/2016,59.28,40.26,154.31,110.61,110.44,764.32,29.71,12.81
13/04/2016,61.79,41.1,159.85,110.51,112.04,771.91,30.78,13.06
14/04/2016,62.59,41.28,160.91,110.84,112.1,775.39,30.72,13.09
15/04/2016,61.87,41.1,158.52,109.64,109.85,780,30.56,12.94
18/04/2016,62.27,41.21,159.02,110.45,107.48,787.68,31.31,13.25
19/04/2016,63.32,41.91,162.65,112.29,106.91,776.25,31.97,13.44
20/04/2016,64.24,42.73,166.98,112.42,107.13,774.92,32.19,13.64
21/04/2016,63.6,42.56,165.32,113.44,105.97,780,32.66,13.65
22/04/2016,63.97,43.3,166.75,110.56,105.68,737.77,32.18,13.61
25/04/2016,63.6,43.05,165.09,110.1,105.08,742.21,31.95,13.58
26/04/2016,63.93,43.37,165.84,108.76,104.35,725.37,32.19,13.75
27/04/2016,64.11,43.53,166.92,108.89,97.82,721.46,32.16,13.66
28/04/2016,63.6,43.13,164.29,116.73,94.83,705.06,32.44,14.09
29/04/2016,63.2,42.69,164.11,117.58,93.74,707.88,31.8,13.56
02/05/2016,63.79,42.97,166.18,118.57,93.64,714.41,31.75,13.62
03/05/2016,62.56,42.5,163.14,117.43,95.18,708.44,31.25,13.43
04/05/2016,61.57,41.72,160.07,118.06,94.19,711.37,30.59,13.31
05/05/2016,61.24,41.65,159.53,117.81,93.24,714.71,30.54,13.32
06/05/2016,61.6,41.78,158.85,119.49,92.72,725.18,30.96,13.44
09/05/2016,61.21,41.54,157.51,119.24,92.79,729.13,30.78,13.32
10/05/2016,62.04,42.06,161.42,120.5,93.42,739.38,31.35,13.49
11/05/2016,61.81,41.87,159.42,119.52,92.51,730.55,31.08,13.32
12/05/2016,61.77,41.94,158.07,120.28,90.34,728.07,31.18,13.35
13/05/2016,61.2,41.43,155.34,119.81,90.52,724.83,30.52,13.22
16/05/2016,61.66,41.69,155.38,118.67,93.88,730.3,30.67,13.32
17/05/2016,61.66,40.72,154.65,117.35,93.49,720.19,30.63,13.14
18/05/2016,64.04,41.62,159.94,117.65,94.56,721.78,30.75,13.16
19/05/2016,63.39,41.52,154.7,116.81,94.2,715.31,30.32,13.09
20/05/2016,63.51,41.74,154.51,117.35,95.22,721.71,30.57,13.19
23/05/2016,63.46,41.66,155.45,115.97,96.43,717.25,30.59,13.13
24/05/2016,64.54,42.28,157.59,117.7,97.9,733.03,31.05,13.29
25/05/2016,65.52,42.96,161.25,117.89,99.62,738.1,31.65,13.52
26/05/2016,65.03,42.67,159.22,119.47,100.41,736.93,31.29,13.46
27/05/2016,65.43,42.95,159.53,119.38,100.35,747.6,31.39,13.45
31/05/2016,65.27,42.82,159.48,118.81,99.86,748.85,31.28,13.49
01/06/2016,65.69,43,159.97,118.78,98.46,748.46,30.22,13.11
02/06/2016,65.81,43.06,159.28,118.93,97.72,744.27,30.26,13.21
03/06/2016,64.64,42.37,155.67,118.47,97.92,735.86,29.6,13.04
06/06/2016,65.28,42.88,157.06,118.79,98.63,730.06,29.99,13.18
07/06/2016,65.06,42.66,155.17,117.76,99.03,731.09,30.23,13.38
08/06/2016,65.25,42.81,154.64,118.39,98.94,742.93,29.57,13.36
09/06/2016,64.75,42.54,153.17,118.56,99.65,742.52,29.36,13.26
10/06/2016,63.84,41.96,149.89,116.62,98.83,733.19,29.06,13.1
13/06/2016,63.27,41.68,148.63,113.95,97.34,731.88,29.08,12.98
14/06/2016,62.08,41.19,146.19,114.94,97.46,733.25,28.83,12.84
15/06/2016,61.97,41.02,146.16,114.6,97.14,732.19,28.86,13.01
16/06/2016,62.22,41.06,146.63,114.39,97.55,724.25,29.02,13.12
17/06/2016,62.28,41.11,145.64,113.02,95.33,704.25,29.23,13.26
20/06/2016,62.37,41.22,147.75,113.37,95.1,706.13,29.65,13.42
21/06/2016,62.95,41.37,148.35,114.38,95.91,708.88,29.51,13.22
22/06/2016,62.71,41.35,148.14,113.91,95.55,710.47,29.32,13.18
23/06/2016,64.05,42.23,152.66,115.08,96.1,714.87,29.82,13.4
24/06/2016,59.6,39.86,141.86,112.08,93.4,685.2,28.35,12.52
27/06/2016,57.61,38.69,139.51,108.97,92.04,681.14,27.51,12.16
28/06/2016,59.52,39.08,142.41,112.7,93.59,691.26,27.74,12.39
29/06/2016,61.2,39.68,145.5,114.16,94.4,695.19,28.17,12.55
30/06/2016,62.14,40.33,148.58,114.28,95.6,703.53,28.3,12.57
01/07/2016,61.26,40.06,148.25,114.19,95.89,710.25,28.89,12.72
05/07/2016,59.55,39.06,144.45,114,94.99,704.89,28.17,12.4
06/07/2016,60.19,39.2,145.58,116.7,95.53,708.97,28.4,12.57
07/07/2016,60.58,39.23,147,115.85,95.94,707.26,28.74,12.75
08/07/2016,61.83,40.09,150.38,117.24,96.68,717.78,29.66,13.09
11/07/2016,62.27,40.3,152.19,117.87,96.98,727.2,30.13,13.27
12/07/2016,63.2,40.67,156.92,117.93,97.42,732.51,30.6,13.45
13/07/2016,63.16,40.63,157.92,116.78,96.87,729.48,30.63,13.48
14/07/2016,64.12,41.25,162.54,117.29,98.79,735.8,30.76,13.59
15/07/2016,64.18,41.89,161.64,116.86,98.78,735.63,30.77,13.57
18/07/2016,63.96,41.88,163.33,119.37,99.83,753.2,30.87,13.65
19/07/2016,63.86,41.97,161.41,120.61,99.87,753.41,31.25,13.65
20/07/2016,63.93,41.97,161.77,121.92,99.96,757.08,31.49,13.74
21/07/2016,63.69,41.88,160.05,120.61,99.43,754.41,32.03,13.92
22/07/2016,64.04,42.19,160.41,121,98.66,759.28,32.16,13.84
25/07/2016,63.87,41.97,160.51,121.63,97.34,757.52,32.06,13.83
26/07/2016,64.13,41.97,161.16,121.22,96.67,757.65,32.15,13.86
27/07/2016,64.33,42.01,160.99,123.34,102.95,761.97,32.02,13.84
28/07/2016,64.1,42.08,160.53,125,104.34,765.84,30.99,12.71
29/07/2016,63.97,42.17,158.81,123.94,104.21,791.34,31.54,12.66
01/08/2016,63.8,41.68,158.18,124.31,106.05,800.94,31.3,12.48
02/08/2016,63.65,41.43,156.06,123.09,104.48,800.12,29.93,11.94
03/08/2016,64.66,42.13,158.34,122.51,105.79,798.92,30.24,12.13
04/08/2016,64.56,42.03,158.05,124.36,105.87,797.25,30.34,12.08
05/08/2016,66.3,42.97,162.09,125.15,107.48,806.93,30.8,12.19
08/08/2016,66.1,42.94,162.83,125.26,108.37,805.23,30.88,12.18
09/08/2016,65.87,42.83,163.44,125.06,108.81,807.48,31.07,12.31
10/08/2016,65.28,42.5,162.19,124.88,108,808.49,31.25,12.25
11/08/2016,65.46,42.82,163.86,124.9,107.93,808.2,31.75,12.31
12/08/2016,65.32,42.73,163.25,124.88,108.18,807.05,31.57,12.33
15/08/2016,65.72,42.98,165.55,123.9,109.48,805.96,31.86,12.43
16/08/2016,65.71,43.02,165.65,123.3,109.38,801.19,31.71,12.34
17/08/2016,65.89,43.22,165.67,124.37,109.22,805.42,31.85,12.39
18/08/2016,65.95,43.22,166.06,123.91,109.08,802.75,31.55,12.33
